month,trades,days,win_pct,AvgR,PF,maxDD_R,max_loss_streak,totalR,max_trades_day,best_asset_side,best_model,best_window
2023-01,15.0,15.0,46.666666666666664,0.8666666666666667,2.625,-4.0,4.0,13.0,1.0,NQ SELL 10.00R,CONTINUATION SELL 6.00R,09:45-10:15_PRIMARY 7.00R
2023-02,9.0,9.0,77.77777777777779,2.111111111111111,10.5,-1.0,1.0,19.0,1.0,NQ SELL 9.00R,CONTINUATION SELL 12.00R,10:15-11:00_RECHECK 17.00R
2023-03,11.0,11.0,36.36363636363637,0.45454545454545453,1.7142857142857142,-6.0,6.0,5.0,1.0,NQ BUY 5.00R,REVERSAL BUY 4.00R,09:45-10:15_PRIMARY 3.00R
2023-04,10.0,10.0,50.0,1.0,3.0,-2.0,2.0,10.0,1.0,NQ SELL 7.00R,CONTINUATION BUY 5.00R,09:45-10:15_PRIMARY 6.00R
2023-05,13.0,13.0,69.23076923076923,1.25,5.0625,-2.0,2.0,16.25,1.0,NQ BUY 10.00R,REVERSAL BUY 9.50R,09:45-10:15_PRIMARY 10.50R
2023-06,10.0,10.0,60.0,0.95,3.375,-1.25,1.0,9.5,1.0,NQ BUY 7.75R,CONTINUATION BUY 8.00R,10:15-11:00_RECHECK 10.00R
2023-07,13.0,13.0,69.23076923076923,1.7692307692307692,6.75,-2.0,2.0,23.0,1.0,YM BUY 8.00R,REVERSAL SELL 10.00R,10:15-11:00_RECHECK 15.00R
2023-08,14.0,14.0,78.57142857142857,2.142857142857143,11.0,-2.0,2.0,30.0,1.0,NQ SELL 14.00R,REVERSAL BUY 12.00R,10:15-11:00_RECHECK 22.00R
2023-09,11.0,11.0,36.36363636363637,0.25,1.3928571428571428,-3.25,3.0,2.75,1.0,ES BUY 3.00R,REVERSAL BUY 4.75R,10:15-11:00_RECHECK 4.00R
2023-10,16.0,16.0,56.25,0.828125,2.892857142857143,-1.5,2.0,13.25,1.0,NQ SELL 8.00R,REVERSAL SELL 6.00R,10:15-11:00_RECHECK 9.00R
2023-11,15.0,15.0,26.666666666666668,0.06666666666666667,1.0909090909090908,-6.0,6.0,1.0,1.0,NQ BUY 7.00R,CONTINUATION BUY 5.00R,OTHER_AM_CONTEXT 3.00R
2023-12,11.0,11.0,36.36363636363637,0.45454545454545453,1.7142857142857142,-3.0,3.0,5.0,1.0,ES BUY 3.00R,REVERSAL BUY 7.00R,09:45-10:15_PRIMARY 6.00R
2024-01,14.0,14.0,57.14285714285714,1.2857142857142858,4.0,-3.0,3.0,18.0,1.0,YM BUY 9.00R,CONTINUATION BUY 6.00R,10:15-11:00_RECHECK 17.00R
